info_sheet_loop.thisIndex,expName,file_name,textbox.text,genderResp2.text,__participant,spacebar_continue.rt,spacebar_continue_3.keys,sentence,q5_slider.response,mouse_3.x,spacebar_continue.keys,genderResp1.response,info_sheet_loop.thisRepN,next_slide_key.keys,arrow_posx,consent_loop.thisTrialN,mouse_3.leftButton,OS,q4_slider.response,instruction,spacebar_continue_7.keys,trials.thisN,spacebar_continue_7.rt,slide_text,mouse_3.midButton,frameRate,arrow_posy,scale_slider.response,trials.ran,consent_loop.thisRepN,edu_slider.response,next_slide_key.rt,consent_item,psychopyVersion,consent_loop.ran,participant,info_sheet_loop.thisN,instructions_loop.ran,spacebar_continue_3.rt,consent_key.rt,q2_slider.response,info_sheet_loop.thisTrialN,item_no,mouse_3.clicked_name,q1_slider.response,trials.thisIndex,consent_key.keys,info_sheet_loop.ran,q3_slider.response,mouse_3.y,date,mouse_3.rightButton,instructions_loop.thisN,__datetime,trials.thisRepN,slider.response,instructions_loop.thisIndex,correct_option,consent_loop.thisIndex,triangle_pos,__session,granularity,genderResp1.rt,instructions_loop.thisTrialN,slider.rt,question,file_path,ageResp.text,total_duration,__experimentName,consent_loop.thisN,trials.thisTrialN,instructions_loop.thisRepN
﻿,BZ,2in,,,PARTICIPANT,0.19339999999105828,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,12,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,42,,,41,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.1915987650553386,,NA,,,SESSION,0,,,2.963799999997022,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/2in.jpeg,,,3rd_year_experiment,,12,
﻿,BZ,17cn,,,PARTICIPANT,0.10300000000000864,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,13,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,37,,,36,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.0129716237386068,,NA,,,SESSION,0,,,1.9641000000089406,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/17cn.jpeg,,,3rd_year_experiment,,13,
﻿,BZ,20in,,,PARTICIPANT,0.1194000000059674,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,14,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,20,,,19,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.6570351918538413,,NA,,,SESSION,0,,,1.9982999999970161,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/20in.jpeg,,,3rd_year_experiment,,14,
﻿,BZ,11in,,,PARTICIPANT,0.0827999999970217,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,15,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,31,,,30,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.9970577239990235,,NA,,,SESSION,0,,,1.4633999999910685,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/11in.jpeg,,,3rd_year_experiment,,15,
﻿,BZ,12in,,,PARTICIPANT,0.06910000000894456,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,16,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,12,,,11,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.6236981709798177,,NA,,,SESSION,0,,,1.9966999999880812,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/12in.jpeg,,,3rd_year_experiment,,16,
﻿,BZ,18cn,,,PARTICIPANT,0.2203999999910593,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,17,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,18,,,17,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.1856236775716145,,NA,,,SESSION,0,,,2.0968999999910665,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/18cn.jpeg,,,3rd_year_experiment,,17,
﻿,BZ,2cn,,,PARTICIPANT,3.3520999999940386,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,18,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,2,,,1,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.6839564005533854,,NA,,,SESSION,0,,,3.265300000011905,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/2cn.jpeg,,,3rd_year_experiment,,18,
﻿,BZ,9in,,,PARTICIPANT,0.900999999999982,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,19,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,69,,,68,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.0163427988688152,,NA,,,SESSION,0,,,1.5152000000029773,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/9in.jpeg,,,3rd_year_experiment,,19,
﻿,BZ,19cs,,,PARTICIPANT,0.5689000000059821,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,20,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,59,,,58,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.0164114634195964,,NA,,,SESSION,0,,,1.2133999999910543,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/19cs.jpeg,,,3rd_year_experiment,,20,
﻿,BZ,16cs,,,PARTICIPANT,0.007399999991065442,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,21,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,36,,,35,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.2162590026855469,,NA,,,SESSION,0,,,1.8485000000000014,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/16cs.jpeg,,,3rd_year_experiment,,21,
﻿,BZ,20cs,,,PARTICIPANT,0.1742000000029975,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,22,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,40,,,39,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.3462977091471355,,NA,,,SESSION,0,,,1.9140000000000157,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/20cs.jpeg,,,3rd_year_experiment,,22,
﻿,BZ,20is,,,PARTICIPANT,0.12760000000895388,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,23,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,80,,,79,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.2791946411132813,,NA,,,SESSION,0,,,2.2296000000089577,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/20is.jpeg,,,3rd_year_experiment,,23,
﻿,BZ,12is,,,PARTICIPANT,1.5495000000000232,,This map shows the levels of a certain type of pollution in this country:,,,space,,,,,,,MacIntel,,,,24,,,,60.002400096003235,,,1,,,,,2022.2.4,,test,,,,,,,72,,,71,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,0,1.439651616414388,,NA,,,SESSION,0,,,3.229199999988083,How severe do you think the environmental pollution in this pointed region is?,images/pointed_maps_images/12is.jpeg,,,3rd_year_experiment,,24,
